TagID,Phase,Tag,Subtag,Purpose,"Triggers (examples, ;-separated)",RequiredFacts (needed before next),Micro-Script or Instruction (EN),NextAction,Disposition,
VER2_7,HOUSE_RULES,VERSION,2.7,Version marker,always_on,,,NOOP,,
SYS0,HOUSE_RULES,SYSTEM_PROMPT,PRIMARY,System rules loader,always_on,,,NOOP,,
PRIO,HOUSE_RULES,TRANSFER_PRIORITY,DEF,Global transfer priority,always_on,,,NOOP,,
POL1,HOUSE_RULES,GUARDRAIL_NO_PRICE,,No exact prices,always_on,,,NOOP,,
POL2,HOUSE_RULES,GUARDRAIL_INTERRUPT,,Barge-in: stop speaking if caller starts,always_on,,,NOOP,,
POL3,HOUSE_RULES,NO_REPEAT_QUESTIONS,,Ask each fact once only,always_on,,,NOOP,,
,,,,,,,,,,
TOOL1,TOOLS,OFFER_LIVE_TRANSFER,DEF,Tool def,tool_def,,,TOOL_DEF,,
TOOL2,TOOLS,OFFER_TRUCK_RENTAL_TRANSFER,DEF,Tool def,tool_def,,,TOOL_DEF,,
TOOL3,TOOLS,OFFER_CALL_TRANSFER,DEF,Tool def,tool_def,,,TOOL_DEF,,
TOOL4,TOOLS,TRANSFER_TO_DIALUP,DEF,Tool def,tool_def,,,TOOL_DEF,,
TOOL5,TOOLS,SCHEDULE_CALLBACK,DEF,Tool def,tool_def,,,TOOL_DEF,,
TOOL6,TOOLS,MARK_DNC,DEF,Tool def,tool_def,,,TOOL_DEF,,
TOOL7,TOOLS,CRM_UPDATE,DEF,Tool def,tool_def,,,TOOL_DEF,,
TOOL8,TOOLS,CHECK_AVAILABILITY,DEF,Tool def,tool_def,,,TOOL_DEF,,
TOOL9,TOOLS,LOOKUP_ZIP_OPTIONS,DEF,Tool def,tool_def,,,TOOL_DEF,,
,,,,,,,,,,
PH1,PHASE_DEF,GREET_COLLECT_CORE,DEF,Collect 4 basics,phase_def,,,PHASE_DEF,,
PH2,PHASE_DEF,PERSUADE_TRANSFER,DEF,Persuade/close,phase_def,,,PHASE_DEF,,
PH3,PHASE_DEF,SUPPORT_ROUTING,DEF,Route outside-quote,phase_def,,,PHASE_DEF,,
,,,,,,,,,,
G0,GREET_COLLECT_CORE,GREET_BY_NAME,OPENER,Personal opener,start; hello; first turn,,"Hi [lead_name], this is [brand_name]. How are you today?",NEXT:G2,Only Call,
G0B,GREET_COLLECT_CORE,AUDIO_CHECK,BARGEIN,Check audio after early barge-in,hello?; can you hear me; are you there,,,Yes—this is [brand_name]. Can you hear me okay?,NEXT:G2,Only Call
G2,GREET_COLLECT_CORE,RECONFIRM_SHORT,OUTBOUND,Reconfirm when basics are prefilled,start reconfirm,lead_from_zipcode|lead_to_zipcode|move_date|move_size,"Hi [lead_name], I have you from [lead_from_city], [lead_from_state] [lead_from_zipcode] to [lead_to_city], [lead_to_state] [lead_to_zipcode] on [move_date], size [move_size]—is that correct?",NEXT:P4,,
C5,GREET_COLLECT_CORE,RECONFIRM_CORRECTION_PROMPT,CORRECT,Branch after “no” on reconfirm,no; not correct; that’s wrong,,,"No problem—what should I fix: the from ZIP, the to ZIP, the date, or the size?",NEXT:C1|C2|C3|C4,
G3,GREET_COLLECT_CORE,ASK_ZIPS_OR_CITY,CORE,Ask for ZIPs (or city+state),start facts; missing zips; price without zips,,,What’s the from ZIP and the to ZIP? Or tell me the city and state.,—,
G3A,GREET_COLLECT_CORE,FROM_CITY_STATE,CORE,Get FROM city+state,from city; from town; from area,,,"What’s the from city and state? For example, “Austin, Texas.”",—,
G3C,GREET_COLLECT_CORE,FROM_ZIP_OPTIONS,CORE,Offer FROM ZIP options,city provided; no from ZIP,lead_from_city|lead_from_state,"Here are ZIP options for [lead_from_city], [lead_from_state]: [zip_options]. Which one matches your address?","ACTION:lookup_zip_options(lead_from_city,lead_from_state); COLLECT:lead_from_zipcode; ACTION:crm_update",,
G3B,GREET_COLLECT_CORE,TO_CITY_STATE,CORE,Get TO city+state,to city; to town; to area,,,"What’s the to city and state? For example, “Tampa, Florida.”",—,
G3D,GREET_COLLECT_CORE,TO_ZIP_OPTIONS,CORE,Offer TO ZIP options,city provided; no to ZIP,lead_to_city|lead_to_state,"Here are ZIP options for [lead_to_city], [lead_to_state]: [zip_options]. Which one fits your destination?","ACTION:lookup_zip_options(lead_to_city,lead_to_state); COLLECT:lead_to_zipcode; ACTION:crm_update",,
G4,GREET_COLLECT_CORE,ASK_DATE,CORE,Ask move date,have zips; missing date,lead_from_zipcode|lead_to_zipcode,What date are you planning to move?,COLLECT:move_date; ACTION:crm_update,,
G5,GREET_COLLECT_CORE,ASK_SIZE_ITEMS,CORE,Ask home size/items,have date; missing size,lead_from_zipcode|lead_to_zipcode|move_date,What’s the home size or roughly how many boxes and large items?,COLLECT:move_size; ACTION:crm_update,,
C1,GREET_COLLECT_CORE,ASK_MISSING_FROM_ZIP,CORE,Re-ask FROM ZIP,missing lead_from_zipcode,,"To match you well, what’s the from ZIP? Or say the from city and state.",BRANCH:if_city->G3A|else->COLLECT:lead_from_zipcode; ACTION:crm_update,,
C2,GREET_COLLECT_CORE,ASK_MISSING_TO_ZIP,CORE,Re-ask TO ZIP,missing lead_to_zipcode,,What’s the to ZIP? Or tell me the to city and state.,BRANCH:if_city->G3B|else->COLLECT:lead_to_zipcode; ACTION:crm_update,,
C3,GREET_COLLECT_CORE,ASK_MISSING_DATE,CORE,Re-ask date,missing date after zips,lead_from_zipcode|lead_to_zipcode,What date works for your move?,COLLECT:move_date; ACTION:crm_update,,
C4,GREET_COLLECT_CORE,ASK_MISSING_SIZE,CORE,Re-ask size/items,missing size after date,lead_from_zipcode|lead_to_zipcode|move_date,What’s the home size or about how many boxes and big items?,COLLECT:move_size; ACTION:crm_update,,
G6,GREET_COLLECT_CORE,ACCESS_RAPPORT,OPTIONAL,Optional access check if helpful,stairs; elevator; long walk; parking,,"Any stairs or elevator, or is street parking easy at pickup?",COLLECT:lead_from_access_type|origin_floor; ACTION:crm_update,,
,,,,,,,,,,
